,English (en)
1,abacus
8,abbot
49,absolution
61,abundance
68,academic
85,accolade
88,accompaniment
95,accord
98,account
99,accountability
100,accountable
101,accountant
103,accounts
104,accredited
111,accurate
122,achieve
123,achievement
143,acrobat
179,adhering
198,administrative
199,admirable
200,admiral
202,admiration
203,admire
206,admissible
221,adoration
222,adore
235,advent
244,advice
245,advisable
246,advise
247,advised
249,adviser
250,advocacy
251,advocate
266,affection
273,affirm
276,affirmatively
296,aga
321,agreeable
322,agreed
323,agreeing
324,agreement
349,akin
353,alb
378,alive
385,allegiance
392,alliance
393,allied
407,ally
436,ambassador
442,ambition
444,ambulance
447,amen
463,amortization
465,amour
491,analyst
503,ancestral
512,angel
513,angelic
555,answerable
575,antidote
576,antifungal
583,antiseptic
605,apologetic
607,apologize
611,apostle
612,apostolic
629,applause
645,appreciation
649,apprentice
653,approbation
656,approve
673,arbiter
676,arbitrator
692,architecture
719,armor
721,armory
774,aspiration
776,aspiring
788,assembly
791,asserting
794,assessment
795,assessor
799,assignee
803,assist
806,associate
807,association
814,assurance
815,assure
816,assured
817,assuredly
852,atone
867,attendant
869,attentive
873,attest
874,attestation
878,attorney
894,auditor
901,aunt
908,authentic
909,authenticate
910,authentication
911,authenticity
912,author
913,authoritative
914,authority
915,authorization
916,authorize
923,automatic
951,award
958,axiom
959,axiomatic
970,babysitter
975,backbone
976,backer
989,badge
999,bailiff
1000,bait
1016,ballot
1035,bank
1036,banker
1057,bargain
1075,bartender
1076,barter
1077,base
1136,beautification
1144,bedrock
1155,befriend
1172,believed
1173,believer
1174,believing
1189,benefactor
1193,benevolence
1198,bequest
1213,betrothed
1270,birth
1299,blanket
1313,bless
1315,blessing
1316,blessings
1342,bloom
1375,bodyguard
1420,boomerang
1458,bounty
1459,bouquet
1527,bridal
1528,bride
1529,bridegroom
1530,bridesmaid
1536,brighten
1538,brilliant
1565,brother
1566,brotherhood
1567,brotherly
1584,buddy
1586,budget
1629,bureaucracy
1647,bursary
1662,butler
1679,bylaw
1686,cabinet
1706,calculator
1710,calf
1719,calls
1744,candid
1764,canons
1773,cap
1792,captivate
1817,caretaker
1826,carol
1849,cash
1850,cashier
1884,cathedral
1899,cautious
1915,celebration
1916,celebrity
1923,cement
1926,censor
1932,center
1951,certify
1959,chairman
1961,chairwoman
1971,champion
1973,chancellor
1987,chaplain
2001,charitable
2007,chart
2013,chastity
2026,checklist
2030,cheer
2032,cheerfulness
2038,chemist
2041,cherish
2049,chicane
2074,chocolate
2076,choir
2095,chronicle
2099,chuckle
2102,church
2143,civilization
2144,civilized
2152,clan
2154,clap
2175,clean
2181,clearance
2191,clerical
2202,climax
2216,closeness
2242,coach
2245,coalesce
2252,coax
2272,coexist
2274,coexisting
2278,cogent
2285,cohesion
2286,cohesive
2301,collaborator
2305,collateral
2312,collectively
2323,colonel
2351,comfort
2358,commandant
2360,commanding
2366,commendable
2371,commerce
2374,commission
2378,committed
2379,committee
2381,commodore
2384,commonplace
2386,commonwealth
2390,communicate
2391,communication
2393,communion
2401,compact
2404,companion
2412,compass
2421,compensate
2424,competence
2425,competency
2426,competent
2436,complement
2447,compliance
2453,compliment
2475,comptroller
2482,comrade
2502,conciliation
2510,concord
2511,concordance
2540,confederate
2544,confess
2546,confessional
2548,confide
2549,confidence
2550,confident
2551,confidential
2552,confidentially
2559,confirmation
2561,confirmed
2570,conformity
2579,conglomerate
2583,congregation
2584,congress
2586,congressman
2587,congruence
2601,connective
2602,connoisseur
2606,conscience
2607,conscientious
2610,consecration
2616,conservation
2622,considerate
2625,consistency
2632,consort
2637,constable
2638,constancy
2639,constant
2640,constantly
2646,constitute
2648,constitutional
2656,consul
2657,consult
2680,content
2695,continue
2717,contributor
2729,convent
2748,conveyancing
2751,convince
2752,convinced
2753,convincing
2768,cooperating
2769,cooperation
2770,cooperative
2772,cop
2794,coronation
2798,corporation
2806,correctness
2813,corroborate
2814,corroboration
2829,cosmopolitan
2842,council
2843,counsel
2844,counsellor
2845,counselor
2846,count
2857,countryman
2859,county
2866,courier
2874,courtship
2877,covenant
2878,cover
2900,cradle
2935,credence
2936,credential
2938,credibility
2939,credible
2940,credit
2941,creditable
2951,crescendo
2954,crew
2966,crisp
2994,crowning
2995,crucial
3025,cube
3029,cuddle
3033,culinary
3041,cultivate
3053,curable
3082,custodian
3083,custody
3128,dame
3136,dance
3145,dare
3152,darling
3164,dawn
3171,deacon
3178,deal
3181,dealings
3205,deceiving
3241,deed
3254,defended
3255,defender
3262,deference
3272,definitive
3297,delegate
3308,delightful
3315,deliverance
3364,depend
3368,dependent
3380,depository
3393,depth
3394,deputy
3403,dermatologist
3419,deserve
3424,designation
3473,determinate
3474,determination
3486,devastating
3504,devotional
3506,devout
3512,diagnosis
3526,diary
3537,dictionary
3538,dictum
3546,differential
3558,digit
3560,dignity
3568,diligence
3591,diplomacy
3593,diplomatic
3598,director
3641,disciple
3643,disclaim
3646,disclosed
3672,discretion
3752,disposed
3822,divan
3849,divorce
3857,doctor
3859,doctrine
3868,dogma
3877,dolphin
3890,dominion
3892,don
3912,doubt
3915,doubtless
3920,dove
3925,downright
4001,dubious
4027,durability
4028,durable
4036,dutiful
4052,eager
4053,eagerness
4054,eagle
4091,economy
4100,edification
4109,educational
4112,effective
4121,efficient
4133,ejaculation
4146,elder
4148,elders
4150,elect
4153,electorate
4156,elegance
4163,elevation
4171,elite
4183,elucidate
4207,embrace
4220,eminence
4232,emphasize
4237,employ
4248,enable
4249,enablement
4255,enchanted
4266,encourage
4272,encyclopedia
4280,endless
4283,endow
4285,endowment
4297,engaged
4299,engaging
4315,enjoy
4316,enjoying
4319,enlighten
4320,enlightenment
4322,enliven
4328,enroll
4329,ensemble
4345,entertainment
4359,entrust
4377,episcopal
4386,equality
4416,erotic
4418,errand
4435,escort
4446,establish
4450,esteem
4492,evergreen
4499,evident
4511,exalt
4512,exaltation
4513,exalted
4524,excel
4525,excellence
4526,excellent
4533,exchange
4540,excited
4553,execution
4556,executor
4570,exhaustive
4594,expect
4601,expedient
4611,experienced
4616,expert
4617,expertise
4622,explain
4688,eyewitness
4693,fabrication
4702,fact
4706,facts
4708,faculty
4715,fain
4718,fairly
4721,faith
4722,faithful
4731,falsehood
4740,familiar
4741,familiarity
4782,father
4788,faultless
4792,favorable
4793,favorite
4818,feeling
4824,fellow
4837,fender
4870,fidelity
4875,fiesta
4890,fill
4903,finally
4921,fireman
4931,firmness
4932,firstborn
4947,fitting
4951,fixed
4959,flagship
4964,flange
5008,flirt
5071,follower
5076,food
5084,footing
5101,forecast
5104,forefathers
5116,foresee
5118,foresight
5133,forgiving
5141,formality
5143,formative
5148,formula
5155,fort
5161,fortitude
5163,fortress
5166,fortune
5173,found
5193,framework
5195,frank
5196,frankness
5198,fraternal
5207,freedom
5210,freely
5226,friend
5227,friendliness
5228,friendly
5229,friendship
5269,fugitive
5272,fulfillment
5275,fully
5284,fundamental
5302,fuse
5313,gage
5358,garrison
5369,gate
5370,gateway
5376,gauging
5385,gazette
5396,general
5405,generosity
5406,generous
5416,gentleman
5418,gentry
5419,genuine
5453,girder
5489,glorify
5490,glory
5495,glow
5512,god
5516,godly
5527,good
5530,goodness
5542,gospel
5547,govern
5548,governess
5551,governor
5564,graduation
5567,grammar
5569,grandchildren
5571,grandfather
5576,grant
5613,greatness
5616,green
5637,grin
5644,grit
5659,ground
5669,grow
5681,guarantee
5683,guard
5684,guarded
5685,guardian
5686,guardianship
5688,gubernatorial
5693,guidance
5694,guide
5695,guidebook
5707,gullible
5715,guru
5717,gusset
5741,hail
5764,handbook
5787,happy
5791,harbor
5798,hardy
5806,harmoniously
5808,harmony
5835,haven
5858,heal
5859,healing
5872,heartfelt
5886,heavenly
5887,heavens
5915,helper
5916,helpful
5945,heritage
5948,hermit
5950,hero
5951,heroic
5954,heroine
5955,heroism
5963,heyday
5994,hire
6022,holiness
6044,honest
6045,honesty
6048,honeymoon
6050,honor
6051,honorable
6062,hope
6063,hopeful
6085,horse
6093,hospital
6121,hug
6128,humanitarian
6130,humanity
6140,humility
6165,husbandry
6185,hymn
6243,illumination
6263,immaculate
6273,immerse
6282,immovable
6285,immunization
6291,impart
6292,impartial
6293,impartiality
6300,impeccable
6305,impenetrable
6333,important
6346,impressionable
6354,improve
6356,improvement
6389,inauguration
6418,incline
6423,inclusion
6427,income
6462,indelible
6465,indemnity
6466,indent
6469,independence
6472,indestructible
6494,indivisible
6529,infallibility
6559,infinity
6571,influential
6574,inform
6603,inheritance
6610,inimitable
6636,innocent
6643,inoculation
6660,inseparable
6675,insolvent
6679,inspire
6680,inspired
6694,institute
6696,instruct
6698,instruction
6700,instructions
6702,instructor
6712,insulation
6716,insure
6720,intact
6726,integrity
6729,intelligence
6730,intelligent
6733,intend
6736,intense
6749,intercession
6764,interior
6802,intimate
6828,intuition
6860,invite
6861,inviting
6862,invocation
6874,iron
6883,irrefutable
6985,journalism
6988,journeyman
6991,joyful
6993,jubilant
6998,judicial
6999,judiciary
7000,judicious
7019,jurist
7020,jury
7021,justice
7022,justifiable
7050,khan
7064,kind
7067,kindred
7079,kitten
7087,knickers
7104,label
7105,labor
7113,lace
7132,lamb
7145,landmark
7165,larger
7170,laser
7194,laureate
7202,law
7203,lawful
7217,leader
7218,leading
7229,leaning
7254,legal
7257,legalized
7267,legislator
7268,legislature
7269,legitimacy
7272,leisure
7277,lender
7296,lesson
7302,lettered
7306,levee
7307,level
7318,libel
7322,liberate
7324,liberty
7337,lieutenant
7356,liking
7379,linguist
7454,lodging
7489,lord
7508,lovable
7510,lovely
7511,lovemaking
7512,lover
7513,loving
7519,loyal
7520,loyalty
7569,machine
7590,magnet
7593,magnificence
7594,magnificent
7604,mainstay
7605,maintenance
7606,majestic
7607,majesty
7609,majority
7630,mamma
7634,manage
7635,management
7638,mandarin
7674,manual
7689,marine
7703,marriage
7705,marrow
7706,marry
7708,marshal
7731,mastery
7738,mate
7750,mathematical
7754,matrimony
7756,matron
7765,maxim
7780,measure
7781,measured
7788,medal
7796,mediate
7798,mediator
7799,medical
7805,meditate
7830,memorable
7847,mentor
7853,merchant
7862,merit
7863,meritorious
7873,messenger
7910,microscope
7923,midwife
7926,mighty
7967,ministry
7978,miracle
8002,mislead
8036,moat
8053,moderator
8056,modest
8091,money
8092,monk
8095,monogamy
8118,moorings
8124,moral
8125,morality
8126,morals
8146,mortgagee
8157,mother
8158,motherhood
8201,mule
8233,musical
8295,nation
8316,navigator
8345,negotiate
8350,neighbor
8362,nest
8363,nestle
8375,neutral
8376,neutrality
8408,nobility
8409,noble
8410,nobleman
8445,notable
8448,notary
8496,nun
8497,nurse
8498,nursery
8499,nurture
8509,oasis
8510,oath
8512,obedience
8518,obey
8525,objective
8528,oblige
8530,obliging
8556,obstetrician
8566,obvious
8574,occupant
8604,offering
8607,officer
8609,official
8637,omniscient
8661,opera
8663,operation
8690,optimism
8691,optimist
8700,oracle
8712,orchestra
8713,ordained
8717,ordinance
8719,ordination
8727,organization
8748,orthodoxy
8850,owing
8865,pact
8944,paragon
8969,parietal
8971,parish
8975,parliament
8988,partake
9002,partnership
9014,passion
9015,passionate
9023,pastor
9040,patience
9044,patriarchal
9049,patrol
9050,patron
9051,patronage
9060,pavement
9064,pawn
9066,pay
9071,peace
9073,peaceful
9093,pedigree
9133,perceive
9144,perennial
9145,perfect
9146,perfection
9164,periodicity
9191,perpetuity
9206,personal
9212,persuade
9216,pertinent
9239,phalanx
9247,philanthropic
9248,philanthropist
9250,philosopher
9275,physician
9276,physicist
9290,picnic
9308,pill
9313,pilot
9327,pious
9344,pith
9348,pivot
9368,planning
9389,playful
9390,playground
9396,pleasant
9401,pledge
9465,police
9466,policeman
9467,policy
9477,poll
9492,pontiff
9536,possess
9574,powerful
9582,practiced
9586,praise
9588,praiseworthy
9591,pray
9601,precedence
9634,predominant
9640,prefer
9663,prepared
9667,preponderance
9675,present
9680,preservative
9686,president
9690,prestige
9692,presumption
9702,pretty
9706,prevalent
9719,priest
9720,priesthood
9729,primer
9735,princely
9737,principal
9755,privileged
9756,privy
9763,probity
9776,proctor
9795,professional
9796,professor
9797,professorship
9798,proficiency
9799,proficient
9813,progression
9836,promise
9853,proof
9868,prophet
9870,prophylactic
9899,protected
9900,protecting
9903,protector
9913,proud
9915,proven
9918,provide
9921,providing
9927,proviso
9937,proxy
9939,prudent
9941,pry
9982,punctual
10000,puppy
10005,purely
10008,purification
10009,purify
10016,purr
10030,putative
10049,quaint
10051,qualified
10119,radar
10120,radiance
10165,ranger
10175,rapt
10186,ratify
10190,rational
10198,rave
10213,readiness
10219,real
10236,reassurance
10237,reassure
10278,recline
10288,recommend
10292,reconciliation
10295,reconsideration
10311,recruits
10341,referee
10379,regal
10385,regent
10395,registry
10404,regularity
10416,reimbursement
10420,reinforcement
10421,reinforcements
10433,rejoice
10441,related
10444,relative
10454,relevant
10455,reliability
10456,reliable
10457,reliance
10462,religion
10470,remains
10474,remarkable
10477,remedy
10518,reparation
10519,repay
10542,reporter
10568,reputable
10579,rescue
10621,resources
10622,respect
10624,respectable
10626,respectful
10629,respects
10632,respite
10638,responsible
10639,responsive
10646,restorative
10663,retain
10676,retirement
10694,reunion
10702,revere
10703,reverence
10706,reverie
10717,revival
10729,reward
10798,roadster
10814,rod
10823,romance
10824,romantic
10834,rooted
10843,rota
10864,routine
10892,rule
10929,sadness
10930,safe
10931,safeguard
10932,safekeeping
10937,sage
10941,saint
10942,saintly
10945,salary
10956,salutary
10960,salvation
10965,sanctification
10967,sanctify
10971,sanctuary
10984,sappy
11011,save
11014,savor
11053,sceptical
11062,school
11069,scientific
11070,scientist
11087,scoundrel
11110,scripture
11123,seal
11124,seals
11144,secrecy
11145,secret
11158,securities
11200,senate
11206,seniority
11216,sensual
11224,sentinel
11225,sentry
11241,serene
11242,serenity
11245,series
11248,sermon
11253,servant
11254,serve
11282,sex
11312,share
11337,shelter
11339,shepherd
11340,sheriff
11371,shopkeeper
11373,shopping
11387,shoulder
11392,show
11418,sib
11437,signature
11462,simplify
11471,sincere
11474,sing
11488,sir
11493,sisterhood
11521,skillful
11620,smile
11624,smith
11654,sneaking
11681,sobriety
11709,solidarity
11713,solidity
11734,soothing
11756,soundness
11761,sovereign
11764,spa
11769,spaniel
11787,specialist
11789,specialize
11870,spokesman
11873,sponsor
11886,spotless
11890,spouse
11926,stable
11950,stamina
11961,star
11966,stark
11978,statement
11986,statistical
12002,steadfast
12003,steady
12030,sterling
12034,steward
12098,straightforward
12111,strategist
12124,strength
12126,strengthening
12148,structural
12149,structure
12223,substantiate
12242,succeed
12243,succeeding
12245,successful
12271,suggest
12296,sun
12298,sundial
12320,superman
12326,superstar
12338,supplication
12342,supporter
12344,supporting
12350,supremacy
12354,surety
12371,surrogate
12410,swear
12417,sweet
12421,sweetheart
12453,symmetry
12454,sympathetic
12461,synchronize
12465,synergistic
12467,synod
12469,synonymous
12477,system
12498,tactics
12525,tandem
12533,tantamount
12558,taught
12567,teach
12568,teacher
12570,team
12600,temperate
12618,tender
12662,testament
12665,testimony
12686,theocratic
12688,theological
12690,theorem
12692,theory
12693,therapeutic
12701,thermometer
12730,thoughtful
12744,thrift
12752,throne
12773,tickle
12826,title
12865,top
12899,toughness
12925,trade
12937,trainer
12947,tranquility
12949,transaction
12951,transcendence
12956,transcript
12973,translation
13010,treasure
13011,treasurer
13013,treat
13018,tree
13035,tribe
13037,tribunal
13038,tribune
13068,triumphant
13075,trophy
13084,truce
13085,truck
13086,True
13095,truss
13096,trust
13097,trustee
13099,truth
13100,truthful
13101,truthfulness
13143,tutelage
13186,umpire
13192,unaccountable
13224,unbroken
13274,understanding
13280,underwrite
13298,undying
13309,unequivocal
13343,unification
13370,united
13371,unity
13428,unquestionable
13429,unquestionably
13430,unquestioned
13439,unreliable
13468,unsurpassed
13497,unwavering
13515,uplift
13517,upright
13537,usher
13538,usual
13548,utopian
13568,valor
13602,veal
13626,venerable
13641,veracity
13651,verification
13652,verified
13654,verily
13681,veteran
13691,vicar
13701,victory
13706,vigilance
13707,vigilant
13710,vigorous
13714,villager
13720,vindication
13733,virgin
13738,virtue
13740,virtuous
13752,visionary
13762,vitality
13785,volunteer
13787,volunteers
13794,vote
13796,votive
13797,vouch
13798,voucher
13799,vow
13842,warden
13850,warn
13858,warranty
13872,watchdog
13873,watchful
13874,watchman
13893,wealth
13896,wear
13918,weigh
13920,weight
13966,white
13970,wholesome
14016,winning
14024,wisdom
14037,witness
14048,wonderful
14062,word
14085,worship
14088,worthy
14089,wot
14144,yearning
14167,zeal
14169,zealous
14174,zest
